1280 63960
105 95 3
105 28 64
106 70 35
82 41 54
82 16 81
114 68 35
91 99 3
83 48 44
116 56 50
98 64 30
108 59 39
128 90 20
85 62 31
101 76 26
101 11 98
121 89 17
70 18 72
96 19 85
109 87 19
103 55 42
104 82 20
90 26 77
102 6 91
96 4 100
112 29 67
113 59 47
102 98 9
88 17 74
115 43 63
88 80 16
115 66 41
112 34 69
99 8 99
100 13 87
101 8 97
100 94 8
94 96 4
98 100 9
116 94 12
112 65 45
118 43 66
78 39 51
84 81 23
115 59 42
113 84 16
93 88 17
95 86 18
87 93 1
84 86 11
81 44 57
119 9 91
89 37 62
106 74 22
118 36 70
102 92 8
96 28 67
124 42 65
81 43 51
112 85 13
98 88 20
106 42 64
89 66 42
95 55 42
103 72 24
91 48 58
127 91 19
108 22 69
77 27 67
125 93 17
113 67 35
121 13 93
101 45 58
111 10 82
115 100 8
87 9 81
124 54 51
81 27 63
100 34 63
74 1 90
101 32 63
93 89 9
115 93 12
107 71 32
73 67 24
87 84 15
128 20 89
102 94 10
95 35 57
86 99 5
101 91 16
84 90 3
103 78 20
117 17 87
106 18 89
103 45 56
99 93 4
85 84 21
100 53 38
94 91 3
110 82 27
122 68 42
126 65 44
93 1 98
107 58 45
113 26 84
79 20 74
108 87 19
99 10 83
107 59 48
93 75 17
99 41 56
87 5 100
86 65 32
96 17 92
84 22 78
124 98 10
119 41 61
86 93 5
86 68 37
109 69 21
117 11 97
107 56 44
92 51 50
101 21 75
97 99 11
116 76 22
123 26 84
113 19 90
81 60 41
113 71 26
84 47 57
90 71 19
100 26 78
109 40 55
97 5 97
93 21 76
111 78 28
98 4 98
91 23 72
98 84 21
87 15 87
89 93 3
91 8 96
110 41 63
112 19 83
124 46 64
79 28 67
110 91 17
96 68 23
88 15 89
108 99 10
80 37 58
97 1 99
89 67 26
96 24 79
88 27 75
95 40 61
122 63 45
120 61 45
107 36 72
116 98 4
128 93 16
92 24 82
80 24 76
103 4 88
85 67 26
88 34 61
88 57 37
87 49 55
92 87 10
88 53 52
107 23 79
83 69 33
92 95 15
100 53 44
114 62 42
116 41 57
83 57 45
83 60 37
119 54 47
94 70 29
101 57 35
116 10 89
91 40 67
109 7 89
102 38 62
103 85 9
78 61 34
106 84 11
96 3 96
123 51 53
114 86 12
98 47 52
77 68 27
92 92 10
96 76 24
76 38 55
104 36 70
105 41 53
109 69 26
89 13 77
95 87 18
84 58 44
89 50 48
115 30 73
95 62 45
97 25 74
88 27 77
106 51 53
95 78 13
92 57 42
108 47 52
111 100 7
117 39 64
122 16 93
113 22 77
90 85 15
110 54 56
88 21 81
87 72 34
98 16 85
95 59 41
103 31 75
97 42 50
90 74 31
92 32 69
85 59 43
77 34 62
91 9 95
115 81 15
93 11 90
106 96 14
121 10 96
97 86 24
99 17 77
120 68 37
95 48 56
103 52 42
98 25 80
85 21 78
118 65 37
86 63 29
91 89 4
102 51 51
100 36 58
117 81 28
113 88 21
110 66 29
92 15 76
82 96 2
102 39 54
100 70 32
109 1 95
110 23 79
94 39 54
124 57 52
116 81 17
106 34 74
80 41 54
102 93 15
97 73 36
90 13 80
93 70 24
116 6 94
101 84 9
114 52 49
90 3 99
109 81 18
79 63 33
117 49 59
92 76 16
118 47 61
121 55 55
80 64 27
72 65 26
117 81 25
100 67 38
122 90 14
120 15 95
88 100 8
100 32 68
86 96 4
95 68 36
118 18 88
107 83 17
97 43 47
96 35 75
94 78 13
91 58 35
119 33 67
97 14 93
84 34 68
83 61 40
105 4 95
87 88 18
101 59 47
100 29 62
126 83 26
118 6 93
90 97 1
114 49 49
106 40 65
115 83 26
93 65 33
102 69 22
82 27 64
85 80 17
106 6 95
87 13 85
90 64 27
77 62 34
115 99 1
101 19 72
84 76 27
95 80 24
101 43 51
127 74 35
99 89 21
96 20 83
97 95 5
116 68 35
102 44 57
110 23 72
117 2 100
98 22 81
97 57 36
105 72 18
124 7 100
94 78 14
97 56 46
77 67 27
129 16 94
101 83 25
106 51 45
88 82 21
96 80 21
108 72 34
96 97 13
114 12 91
100 53 51
111 75 23
100 5 89
111 27 82
90 12 85
116 17 87
88 6 86
107 97 12
105 5 98
89 57 40
123 28 81
82 78 16
99 69 26
75 59 32
77 33 64
111 62 47
118 50 50
107 19 85
108 86 14
119 69 36
91 66 43
75 94 1
87 47 59
94 39 70
105 68 29
117 33 72
106 13 79
100 84 10
92 54 47
101 7 95
116 79 19
91 87 6
101 14 81
94 87 15
103 19 83
110 54 55
102 93 11
84 20 77
104 29 70
110 24 81
92 82 18
97 63 35
126 74 34
99 57 51
114 8 96
94 90 14
105 62 37
117 29 71
89 74 17
112 17 78
113 66 40
104 6 84
84 58 39
95 69 40
118 28 72
97 62 31
106 41 60
86 69 26
116 82 18
107 90 14
97 84 21
92 41 68
111 49 51
94 91 17
93 49 54
100 76 22
104 71 31
98 3 88
105 10 90
115 98 9
120 89 19
86 35 58
117 80 23
97 2 99
87 24 68
112 74 29
117 38 71
96 22 80
107 26 77
125 43 65
116 55 44
85 39 60
105 91 17
95 29 77
85 20 79
124 91 16
121 41 68
103 54 36
89 20 73
98 19 74
73 84 9
115 99 7
95 66 41
79 30 62
123 53 55
113 34 73
100 22 81
119 67 38
114 6 98
109 79 14
124 27 79
110 10 95
123 73 32
89 97 9
119 96 14
81 48 52
92 70 31
90 59 34
96 100 10
95 59 31
101 2 94
87 29 73
82 68 27
124 65 43
117 83 24
103 26 68
111 89 10
115 10 89
110 53 48
84 79 17
101 59 51
84 22 68
109 51 40
107 48 62
78 21 71
97 22 78
122 100 6
120 98 10
111 30 71
83 25 75
90 28 79
119 65 41
76 45 46
103 68 31
115 7 98
121 49 54
96 9 99
103 36 66
96 83 11
105 1 93
117 10 89
90 36 68
86 73 31
97 46 62
118 32 72
86 32 63
121 6 98
110 48 54
90 38 70
84 17 80
92 74 35
108 27 81
79 54 38
97 50 55
80 35 57
95 85 18
96 25 85
90 28 76
108 15 80
99 4 94
126 93 17
81 73 28
94 27 72
90 26 77
110 19 87
101 92 18
111 17 89
96 43 60
113 41 57
85 42 58
88 50 54
104 84 16
99 40 67
93 39 61
114 23 84
105 96 3
92 52 52
108 47 50
116 63 46
81 97 1
116 69 34
87 43 62
82 48 49
108 34 71
123 40 65
94 75 27
98 61 33
106 50 59
101 67 37
80 62 29
93 58 44
96 33 71
97 75 32
122 16 92
101 82 14
101 94 14
105 48 54
78 10 88
109 82 26
105 38 70
108 19 82
88 36 54
125 59 50
105 63 29
111 77 15
122 46 59
104 3 99
112 74 31
119 65 40
91 91 13
102 8 93
115 51 59
97 81 16
78 73 25
97 6 89
110 89 19
102 39 61
99 60 42
116 28 76
120 97 5
99 54 48
127 37 71
94 9 99
